shooting_hour,location_desc,boro,sex
23,BAR/NIGHT CLUB,BRONX,Female
22,PUBLIC HOUSE,BRONX,Male
15,PUBLIC HOUSE,BRONX,Female
1,APT BUILD,BRONX,Male
22,APT BUILD,BRONX,Male
17,PUBLIC HOUSE,BRONX,Female
23,COMMERCIAL BLDG,BRONX,Male
21,BAR/NIGHT CLUB,BRONX,Male
2,PUBLIC HOUSE,BRONX,Female
22,COMMERCIAL BLDG,BRONX,Male
3,PUBLIC HOUSE,BRONX,Male
3,APT BUILD,BRONX,Male
23,PUBLIC HOUSE,BRONX,Female
7,APT BUILD,BRONX,Female
6,PUBLIC HOUSE,BRONX,Female
5,PUBLIC HOUSE,BRONX,Male
15,PUBLIC HOUSE,BRONX,Male
4,PUBLIC HOUSE,BRONX,Female
21,BAR/NIGHT CLUB,BRONX,Female
20,BAR/NIGHT CLUB,BRONX,Female
19,PUBLIC HOUSE,BRONX,Male
0,PUBLIC HOUSE,BRONX,Male
15,APT BUILD,BRONX,Male
16,APT BUILD,BRONX,Female
4,BAR/NIGHT CLUB,BRONX,Female
19,PUBLIC HOUSE,BRONX,Female
3,APT BUILD,BRONX,Female
0,APT BUILD,BRONX,Female
22,COMMERCIAL BLDG,BRONX,Female
23,COMMERCIAL BLDG,BRONX,Female
14,PUBLIC HOUSE,BRONX,Male
12,GROCERY/BODEGA,BRONX,Female
18,PUBLIC HOUSE,BRONX,Male
4,BAR/NIGHT CLUB,BRONX,Male
0,PUBLIC HOUSE,BRONX,Female
0,STORE UNCLASSIFIED,BRONX,Male
21,PUBLIC HOUSE,BRONX,Male
23,PUBLIC HOUSE,BRONX,Male
20,BAR/NIGHT CLUB,BRONX,Male
0,STORE UNCLASSIFIED,BRONX,Female
21,APT BUILD,BRONX,Female
7,APT BUILD,BRONX,Male
18,PUBLIC HOUSE,BRONX,Female
4,PUBLIC HOUSE,BRONX,Male
2,APT BUILD,BRONX,Male
23,BAR/NIGHT CLUB,BRONX,Male
4,APT BUILD,BRONX,Female
22,PUBLIC HOUSE,BRONX,Female
1,GROCERY/BODEGA,BRONX,Female
14,PVT HOUSE,BRONX,Female
16,APT BUILD,BRONX,Male
14,PVT HOUSE,BRONX,Male
21,PUBLIC HOUSE,BRONX,Female
1,GAS STATION,BRONX,Male
21,APT BUILD,BRONX,Male
6,PUBLIC HOUSE,BRONX,Male
5,PUBLIC HOUSE,BRONX,Female
20,PUBLIC HOUSE,BRONX,Male
21,GAS STATION,BRONX,Female
16,GROCERY/BODEGA,BRONX,Female
20,PUBLIC HOUSE,BRONX,Female
16,GROCERY/BODEGA,BRONX,Male
20,PVT HOUSE,BRONX,Male
20,APT BUILD,BRONX,Female
1,PUBLIC HOUSE,BRONX,Female
0,APT BUILD,BRONX,Male
1,GAS STATION,BRONX,Female
20,PVT HOUSE,BRONX,Female
22,APT BUILD,BRONX,Female
1,APT BUILD,BRONX,Female
2,PUBLIC HOUSE,BRONX,Male
12,GROCERY/BODEGA,BRONX,Male
1,PUBLIC HOUSE,BRONX,Male
1,GROCERY/BODEGA,BRONX,Male
17,PUBLIC HOUSE,BRONX,Male
15,APT BUILD,BRONX,Female
14,PUBLIC HOUSE,BRONX,Female
2,APT BUILD,BRONX,Female
20,APT BUILD,BRONX,Male
4,APT BUILD,BRONX,Male
21,GAS STATION,BRONX,Male
